,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4158582746,2794475200,4516356371,6384088259,15663153510,37060432764","45743607509,29970391248,46566725918,77545295038,135724804330,315569523528","10626197382,7230065016,12009762326,16941456010,39329217399,85689047006","118183074575,79709182810,123794572697,171581127513,353738514311,665631484856"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5722002723,3419916089,3802105716,4082376980,5663144080,8339390178","80412630767,46299733025,49097448011,50163384083,67580449731,100898199354","14428313829,8606585267,9552792555,10215053850,14176851985,21068052694","209409030307,120452349864,127584958814,130324836362,175471046096,262471466688"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"125989704,148359200,199514655,236815554,403281684,708390987","1272459340,1727938824,2123327608,2274965872,3604735181,5394724553","315744001,369296851,494509656,584921868,996483234,1763515586","3296696655,4478221736,5465006305,5851948955,8687181965,14036392840"
perf::PERF_COUNT_HW_BRANCH_MISSES,"531734,662318,1080580,1362517,2104734,3611017","4859544,6611931,8914468,9960788,15822322,25848074","1209882,1514349,2396675,2957280,4529301112,7908089","12047796,16637093,21825114,24062335,38317394,62501870"
perf::PERF_COUNT_HW_BUS_CYCLES,"28316453,20722307,37391084,55997515,2688149737,315257354","325438245,228243196,415913837,631992366,1382690085,2514262807","74369447,53260739,106381202,132379315,384436290,795544641","837489853,596497198,1123506836,1498705487,3208509612,7496133595"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3065829876,2251827180,4149269388,6062512788,15717915432,34333811496","34552852956,24424011720,44902229904,66293166852,148925767140,270665931060","8037918936,5788744992,11264973948,14353891992,41737079844,85604749236","92565605376,64464604596,120934125828,173474666676,368341633764,646616341764"
perf::PERF_COUNT_SW_PAGE_FAULTS,"1,0,0,0,147,0","163,836,290,85,339,363","0,0,66,26,253,508","530,331,425,494,0,935"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2097147660,1292896752,1487317691,1590309150,2111600374,2989472529","27730978309,16780762413,18278533728,18670644614,28943128223,36435208350","5294031978,3258776610,3745393434,4000119843,5308094873,7520006107","72284380398,43716539102,47600418378,48618354010,64467299109,94897871527"
