,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"3968499089,4251717464,4593645092,3183517636,4186914390,8500932311","37949136421,38207514862,14303149271,7163573357,11983472970,12280349425","10698892331,12743265330,12935712619,8879021351,11695058019,24116519637","100211564765,112466305471,40065573679,19988746595,32412213917,30181085752"
perf::PERF_COUNT_HW_INSTRUCTIONS,"4441977615,4824868173,4863502723,3072321608,3567934758,5876283299","63869259145,68395931461,22810907987,10630206450,15930974632,12371762995","11203416986,12223220250,12226073900,7522384816,8775126224,14143791742","166306150193,177959548165,59327373304,28148318143,40959378503,31703755168"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"40352804,62852837,78013740,94087853,266969256,364801821","424485479,448672403,163647856,105469368,374085085,544492031","100763754,163110305,176437147,201402746,606619942,599914646","1100091364,1149184021,391589167,250440115,811595791,1181446947"
perf::PERF_COUNT_HW_BRANCH_MISSES,"136289,233090,411184,238971,333406,499325","1346979,2346128,1011183,454594,775156,739931","285487,349338,499058,328247,436347,574463","3146879,4789321,1919328,875561,1384541,1304306"
perf::PERF_COUNT_HW_BUS_CYCLES,"28166672,30470024,35803212,26330302,38753260,84495335","268214611,289019948,108097031,56480048,111337278,114598171","74093075,90808898,98002229,73058798,109627807,241978197","719798299,854499955,308558463,163519472,310147875,285429330"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3004783344,3291274332,3865170456,2832546600,4258512864,9081919917","28962396036,31074197040,11686323924,6133583340,12113685864,12509578080","7954039512,9815019984,10561296636,7699370724,11883697452,26067922236","77927996520,92215046160,33333090552,17820763488,34233914952,30406944636"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,36,0,0,0,23","2,91,381,391,387,390","0,0,0,0,13,14","131,385,419,495,375,584"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"1570476515,1795000798,1799461607,1128914471,1287985700,2201364249","22457481982,25761751206,8598476893,4048901758,5925166893,4572367326","3959632078,4534351402,4532447677,2791641549,3159117118,5356744459","58446613085,67067380039,22368006113,10641549480,15467820817,11738476381"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"464531577,540214275,535834018,315242550,328634397,572166802","5933154456,8302978559,2750498489,1280989613,1845311164,1367941246","1165697151,1363730815,1367608548,799213476,829585191,1457133029","15296228097,21031294620,7051978860,3301333682,4739119894,3533163842"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"91096184,113602417,114148493,74831560,106741448,207500598","659160896,773234127,265688705,121319854,220225902,210181840","227856563,286809289,281878117,176782134,257870655,469114118","1694149423,1969399711,667494329,302518995,549205797,520820814"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"315213,1553454,1991008,1296833,1498049,5214519","1821572,10081859,4276280,2249511,3519464,3049514","576240,1816005,2239545,1489291,1763206,5876179","3958388,13661007,5527128,2724843,4737689,4008778"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"68028334,14298966,12146929,7335387,8133713,29591366","336448232,38402192,13023726,4891794,9184960,9840562","185309434,172919362,86898236,46210131,43990419,116236108","942663234,694944228,143615380,46650571,85744207,73882827"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"17306662,4990837,4683433,3750610,3328734,10266257","148642399,4442769,1486953,1198305,2771336,3633605","61371913,17523085,16736133,11167007,11672726,47545448","455330312,27603448,9175001,3903094,9313375,8470894"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"5354646,19852914,20627291,12255154,13124204,20087871","123761813,188526781,64318639,30208160,42631894,31868128","11461651,48828409,50591977,30518470,32272441,49851049","308564529,484562905,164620852,78081021,110511421,82473585"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"1372780,14222650,13935654,7971184,7545758,8569906","51178351,135024200,51226658,24753506,35291871,26364141","2443945,44931326,45195285,27837954,29284682,40921653","122780142,437978467,155247920,74620739,106475318,77959616"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"1570473198,1792901440,1799525631,1122603028,1277757878,2197291515","22457561282,25762394242,8600487949,4075896202,5889139282,4571044367","3959624984,4534228436,4534535957,2784576938,3155380587,5341648106","58447049387,67067405658,22367707750,10652737986,15495155181,11743905379"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"24978,20537,32404,25094,110988,45954","153336,128982,71007,40494,62313,58027","73399,17958,34990,24442,30943,53969","307275,143553,121852,51576,88785,82412"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"91096186,112727251,114673186,75002915,106030267,207795776","659160897,773256601,264748538,121849107,222325272,214398886","227856551,286746423,281689099,174838266,251858829,466131017","1694149422,1969500115,661574764,318818026,553856087,526312043"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"89,582,2081,1208,2144,1079","1036,384,3264,2325,4067,3393","51,381,2119,871,1449,976","2259,515,2719,2730,4457,5235"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"1937606244,2003034744,2113756633,1575550402,2226103932,3962909567","15427873774,15557147068,5808444459,3257918686,6115206546,5642901009","5611740841,6448443115,6576005931,5073305425,6802397272,14303597175","42589933749,47947950468,16810230287,9522972571,18052626981,15679608042"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1665128601,882621995,1038833701,871103377,1445626237,2458219189","11342768779,1439399849,739132432,590580179,1685063837,2289889724","4934392480,3688292296,3603483369,2954562420,4405081938,8947812070","32701892991,10735925947,3472231140,1857205889,5365872916,5987946135"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"1072234681,566112907,590932860,511277102,579732262,1392113844","8687191791,382258760,166218416,206473164,553869468,620698578","3417259254,1688857662,2044530909,1700204244,1923894244,6264547902","25765738560,2477234770,928249403,620310170,1782807816,1454380067"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"1445382459,1301460260,1391192534,1155418994,1763531613,2948233038","10157926650,5732524314,2475401691,1704492389,3552606451,3778205650","4369157675,4599614077,4600159552,3776420051,5466502968,11460448773","29391606745,23498317588,8500721106,5659249060,12363274757,11183676919"
CYCLE_ACTIVITY:STALLS_L2_MISS,"1351700710,680995336,825357020,725050021,1248728901,2091423590","9380685597,949511171,496825272,493523907,1524998842,2027680642","4101698986,2862583597,2818843127,2466110998,3936384824,7744658795","27254419258,7851415887,2557982000,1437508861,4879327647,5097539696"
CYCLE_ACTIVITY:STALLS_L3_MISS,"951660806,490440020,519911041,455316878,526226193,1251721397","7627943086,298673102,137427706,178762620,506003111,582387274","3040111698,1460419719,1799178948,1523918088,1770719556,5698970904","22415308155,1982374010,798226979,539699201,1666975251,1338155946"
RESOURCE_STALLS,"2415323186,2452946334,2450020813,1698650360,1867475666,4391634933","19448819954,17016228229,6402652533,3418330722,5446987483,4980538310","6819335713,7770359421,7646290087,5401184678,6075700177,15457692047","53535962646,57813305465,20514262160,11597102143,19767169556,15729375853"
L2_RQSTS:ALL_DEMAND_DATA_RD,"125740987,151119620,146361845,77046535,79075896,140230082","988768522,1470438659,485983249,213423969,328814448,256207535","311549152,397639138,388477468,212546085,214533454,378729867","2424263394,3829072496,1302070872,560143458,893666404,688805049"
L2_RQSTS:DEMAND_DATA_RD_HIT,"63562155,138409336,135237410,70549692,71634888,111605504","673393159,1437400286,474820398,209815075,320359701,247850724","143218557,245118001,313386996,172422765,176981936,272499123","1544959853,3223136590,1189254482,529952668,829047729,633790355"
