,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4159764264,6152727700,9900595026,15460907283,28163970809,41360145849","48585794092,71610462878,117047156643,152469450374,231097051891,338388827938","10805319282,16637078220,27593490945,42499508318,72217466222,100842645963","129561233110,189482315065,272679080498,417860469520,674470246826,864642586678"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5741563264,6667656834,6782289622,7052287616,7677503327,8274451783","81389701302,92991780339,93466490400,94640865999,97413753397,99510154134","14479245073,16807628272,17140350299,17829736675,19434122173,20832569031","211972854588,242160019033,243407618493,246541710408,253380452178,258904419046"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"121696027,272523790,323949693,396715245,555181069,704292568","1288998785,3307242752,3524096307,3832909316,4522248487,5091326165","305066617,685003372,831025112,1016857791,1441022425,1797698116","3340940012,8578033971,9185824852,10014316299,11741404179,13165859638"
perf::PERF_COUNT_HW_BRANCH_MISSES,"536619,1176497,1557230,1817654,2108792,2554116","5395321,12265237,14131263,15430990,18900857,21177526","1254001,2686551,3493057,3975684,4645304,5345325","13621187,30814403,34985633,37617361,45113661,51028805"
perf::PERF_COUNT_HW_BUS_CYCLES,"29208851,45566526,77518519,128743633,246374726,389178630","346630105,522289210,793055990,1201632869,2291172663,2875117364","75580175,120499125,239621445,349461478,632396370,960472382","930484152,1404101719,2449294563,3508732781,5228868828,7277104400"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3080901384,4920368688,8405879472,13763872800,26604946908,42095792448","38500366212,56391737724,85734835884,134871001092,232292106468,309927781116","8164966572,13048922448,26535574764,38083758336,69807065329,103452839964","101163208824,150699296592,262457335152,374858636724,561704360148,765998174988"
perf::PERF_COUNT_SW_PAGE_FAULTS,"6,0,82,67,0,189","88,0,176,0,0,393","0,0,0,0,0,0","255,40,919,717,18,394"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2097516828,2548153611,2567524695,2622247688,2745679392,2883864511","28360754141,34662353470,34731232934,34977532296,35542760083,36002008977","5294712272,6429447154,6481287641,6621811607,6942150507,7263054137","73926125541,90344077545,90522881203,91153402811,92568270620,93768609543"
