,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4269885199,10030348588,14026586682,19904674818,35184704399,49581883484","40546899161,93802965104,119693550608,148912307228,229632382529,314970172807","11661188088,25879285194,36391589396,50995892951,87690285291,118038397667","106489336705,247019410143,315701603953,407858618352,607119593703,733965404824"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5579949058,6071719805,6781173245,7001416292,7796189271,8410495709","76067627419,79942553582,88790066280,89667145862,92940227551,95316933761","14065133001,15276697924,17028302011,17562532920,19497195279,21068895411","198077343336,208081998645,230966781100,233094596792,241258157556,247596284880"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"126611313,214887382,356554378,438099351,647686247,811042544","1061773106,2035940104,3470572674,3778934532,4625384882,5244762984","316771399,533168858,885656590,1082361251,1602229073,2008342293","2748892646,5258735495,8962814805,9752594460,11871159627,13527442982"
perf::PERF_COUNT_HW_BRANCH_MISSES,"492537,1020194,1666503,2006702,2537478,3124148","3592072,8202034,14289237,15752424,18483900,21516867","1098280,2211613,3621077,4406942,5546522,6702686","8767884,20204728,34716819,38083812,44663180,52307149"
perf::PERF_COUNT_HW_BUS_CYCLES,"29932877,71254230,106511189,158371244,274414687,392001296","283982064,671371532,945664918,1181703233,1721999002,2370097457","83981594,185856999,272797481,393389032,697309412,946204003","776193870,1764749501,2396974071,3022569350,4434429129,5888085576"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3241532268,7704173124,11481286500,17228585268,29760837372,42320584332","30676363632,72374589792,102140070840,127694326284,186060561444,271504643023","8988733800,20035272564,29529495288,42712210692,75236679252,97376914404","82286476596,190818055944,260700257304,326433001140,496225287828,642374288388"
perf::PERF_COUNT_SW_PAGE_FAULTS,"50,0,135,0,93,110","177,0,0,42,0,549","0,0,0,82,11,258","616,154,0,124,1,0"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2069519240,2249299534,2581558504,2614324706,2769810452,2913720720","25536093561,27357183813,32111605662,32243865392,32917410049,33396145947","5223565850,5672502703,6501466553,6578536298,6956237451,7314617083","66582185748,71315160615,83668767905,83988532270,85695489777,86949757270"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"716035649,763359685,909812787,916690836,934031556,967685816","6866624574,7844927082,10100067057,10076355130,10062831773,9959420480","1812088690,1916475257,2289078523,2296516002,2341455314,2417084097","17966951064,20353579225,26285618292,26171003651,25840710230,25814575712"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"171125380,174435302,180961676,185506455,193172607,199501552","1414342215,1430562279,1458685869,1472725842,1510152703,1539287626","428210815,433507381,445851395,453806723,467623237,476841597","3651073303,3680251328,3735487993,3759169386,3829938899,3884381181"
